# _tick,_time,frames,mean_episode_return_0,loss_0
5031,1718030067.644995,5282550,-0.06260748207569122,0.7389454245567322
5032,1718030068.078088,5283600,-0.06326543539762497,0.6729453802108765
5033,1718030068.4953282,5284650,-0.06295133382081985,0.7182431817054749
5034,1718030068.9281495,5285700,-0.06365404278039932,0.7303056120872498
5035,1718030069.34497,5286750,-0.06349625438451767,0.709142804145813
5036,1718030069.7780247,5287800,-0.06344547122716904,0.6690798401832581
5037,1718030070.194913,5288850,-0.06357897073030472,0.7422338724136353
5038,1718030070.611636,5289900,-0.06381914764642715,0.7147548198699951
5039,1718030071.0308516,5290950,-0.06357196718454361,0.6695873141288757
5040,1718030071.4616494,5292000,-0.06437166035175323,0.6964676976203918
5041,1718030071.878309,5293050,-0.06514764577150345,0.7392417788505554
5042,1718030072.2947528,5294100,-0.06448627263307571,0.7507826089859009
5043,1718030072.7280183,5295150,-0.06428930908441544,0.7095082998275757
5044,1718030073.1449049,5296200,-0.06403592228889465,0.70320063829422
5045,1718030073.578025,5297250,-0.06452380120754242,0.6866874098777771
5046,1718030074.0276904,5298300,-0.06371504068374634,0.723199188709259
5047,1718030074.4449582,5299350,-0.06427925080060959,0.660268247127533
5048,1718030074.8615305,5300400,-0.06453588604927063,0.7303986549377441
5049,1718030075.3116055,5301450,-0.06418076902627945,0.6952458024024963
5050,1718030075.7288074,5302500,-0.06385102868080139,0.7499187588691711
5051,1718030076.1283607,5303550,-0.06396486610174179,0.7378155589103699
5052,1718030076.561353,5304600,-0.06357372552156448,0.7155011296272278
5053,1718030076.9613376,5305650,-0.06367883831262589,0.6837109327316284
5054,1718030077.3781369,5306700,-0.06413452327251434,0.711351215839386
5055,1718030077.7947235,5307750,-0.06451965123414993,0.7497374415397644
5056,1718030078.2446287,5308800,-0.06490692496299744,0.6827776432037354
5057,1718030078.6781976,5309850,-0.06481485068798065,0.7029467225074768
5058,1718030079.095468,5310900,-0.06462505459785461,0.7475408315658569
5059,1718030079.5113943,5311950,-0.06486831605434418,0.698036789894104
5060,1718030079.944875,5313000,-0.06549549847841263,0.7048329710960388
5061,1718030080.3612127,5314050,-0.06554294377565384,0.7185008525848389
5062,1718030080.7782667,5315100,-0.06457886844873428,0.7326275110244751
5063,1718030081.2282398,5316150,-0.06441885232925415,0.6668091416358948
5064,1718030081.6446369,5317200,-0.06474301218986511,0.6879305839538574
5065,1718030082.1279278,5318250,-0.0639682188630104,0.6956571340560913
5066,1718030082.561271,5319300,-0.06400556117296219,0.7544662356376648
5067,1718030082.994569,5320350,-0.06380541622638702,0.7084341049194336
5068,1718030083.4279532,5321400,-0.06322161108255386,0.7465939521789551
5069,1718030083.9112906,5322450,-0.06290651112794876,0.7416766881942749
5070,1718030084.3949518,5323500,-0.06387588381767273,0.7438481450080872
5071,1718030084.8115985,5324550,-0.06325504928827286,0.8096327781677246
5072,1718030085.2279391,5325600,-0.06439229846000671,0.7236968874931335
5073,1718030085.6445959,5326650,-0.06406820565462112,0.6752777695655823
5074,1718030086.0602117,5327700,-0.06515662372112274,0.713069498538971
5075,1718030086.4792137,5328750,-0.06596821546554565,0.6900445222854614
5076,1718030086.9270265,5329800,-0.06672296673059464,0.7046748399734497
5077,1718030087.3279116,5330850,-0.06670024991035461,0.7314746379852295
5078,1718030087.761462,5331900,-0.06705937534570694,0.7063668966293335
5079,1718030088.2103426,5332950,-0.06825130432844162,0.7146537899971008
5080,1718030088.6279278,5334000,-0.0677654966711998,0.7433094382286072
5081,1718030089.0613146,5335050,-0.06836379319429398,0.7677482962608337
5082,1718030089.477934,5336100,-0.06848165392875671,0.7196311950683594
5083,1718030089.8949287,5337150,-0.06849542260169983,0.7178364396095276
5084,1718030090.3278925,5338200,-0.06799252331256866,0.7139677405357361
5085,1718030090.7614937,5339250,-0.06741118431091309,0.7449109554290771
5086,1718030091.161263,5340300,-0.06830618530511856,0.6975994110107422
5087,1718030091.594927,5341350,-0.0674838051199913,0.7407352328300476
5088,1718030092.0111492,5342400,-0.06765159219503403,0.7139018177986145
5089,1718030092.4444916,5343450,-0.06778480112552643,0.7082879543304443
5090,1718030092.878083,5344500,-0.06758647412061691,0.7213541865348816
5091,1718030093.3112655,5345550,-0.06723877787590027,0.7211570143699646
5092,1718030093.7285192,5346600,-0.06644899398088455,0.7421941161155701
5093,1718030094.1448452,5347650,-0.06581835448741913,0.6947188973426819
5094,1718030094.56157,5348700,-0.06612596660852432,0.7222122550010681
5095,1718030094.9781187,5349750,-0.06517443805932999,0.7433684468269348
5096,1718030095.4445374,5350800,-0.0645514652132988,0.7807433009147644
5097,1718030095.8445163,5351850,-0.06391197443008423,0.7426927089691162
5098,1718030096.2781844,5352900,-0.064260333776474,0.714059591293335
5099,1718030096.7112489,5353950,-0.06454168260097504,0.7298994660377502
5100,1718030097.1111686,5355000,-0.06519550085067749,0.7273593544960022
